sample_name	box	host_subject_id	tube_id	cage_id	condition	collection_timepoint	dob	dod	host_age	host_age_units	collection_disease_stage	cohort	dam	sire	mouse_strain	sex	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_taxid	iacuc_institute	iacuc_protocol_id	latitude	latitude_units	life_stage	longitude	longitude_units	sample_type	scientific_name	taxon_id	title	NASH_score	NASH_category
10N.T2	1	10N	10N_2	STZ_10	FT	ZT9	11.18.20	04.26.21	8	weeks	TRF	HCC	C57_5L	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
7L.T2	1	7L	7L_2	STZ_7	FA	ZT9	11.18.20	04.26.21	8	weeks	TRF	HCC	C57_11N	C57_11M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
7N.T2	1	7N	7N_2	STZ_7	FA	ZT9	11.18.20	04.27.21	8	weeks	TRF	HCC	C57_5L	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
8N.T2	1	8N	8N_2	STZ_8	FA	ZT9	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_3L	C57_3M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
9aL.T2	1	9aL	9aL_2	STZ_9a	FA	ZT9	11.20.20	04.26.21	8	weeks	TRF	HCC	C57_5N	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
9bN.T2	1	9bN	9bN_2	STZ_9b	NA	ZT9	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_3L	C57_3M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
9bR.T2	1	9bR	9bR_2	STZ_9b	NA	ZT9	11.22.20	03.12.21	8	weeks	TRF	HCC	C57_9N	C57_9M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
11B.T2	1	11B	11B_2	STZ_11	NA	ZT9	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_14L	C57_14M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
11L.T2	1	11L	11L_2	STZ_11	NA	ZT9	11.19.20	04.26.21	8	weeks	TRF	HCC	C57_12L	C57_12M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
12B.T2	1	12B	12B_2	STZ_12	NA	ZT9	11.24.20	04.26.21	8	weeks	TRF	HCC	C57_2N	C57_2M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
12L.T2	1	12L	12L_2	STZ_12	NA	ZT9	11.20.20	03.12.21	8	weeks	TRF	HCC	C57_5N	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
3L.T3	1	3L	3L_3	STZ_3	FT	ZT13	11.18.20	04.27.21	8	weeks	TRF	HCC	C57_11N	C57_11M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
4B.T3	1	4B	4B_3	STZ_4b	FT	ZT13	11.19.20	04.26.21	8	weeks	TRF	HCC	C57_3L	C57_3M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
5L.T3	1	5L	5L_3	STZ_5	FT	ZT13	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_13N	C57_13M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
6LL.T3	1	6LL	6LL_3	STZ_6	FT	ZT13	11.22.20	04.26.21	8	weeks	TRF	HCC	C57_9N	C57_9M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
6R.T3	1	6R	6R_3	STZ_6	FT	ZT13	11.20.20	04.27.21	8	weeks	TRF	HCC	C57_5N	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
10N.T3	1	10N	10N_3	STZ_10	FT	ZT13	11.18.20	04.26.21	8	weeks	TRF	HCC	C57_5L	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
7L.T3	1	7L	7L_3	STZ_7	FA	ZT13	11.18.20	04.26.21	8	weeks	TRF	HCC	C57_11N	C57_11M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
7N.T3	1	7N	7N_3	STZ_7	FA	ZT13	11.18.20	04.27.21	8	weeks	TRF	HCC	C57_5L	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
8L.T3	1	8L	8L_3	STZ_8	FA	ZT13	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_12L	C57_12M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
8N.T3	1	8N	8N_3	STZ_8	FA	ZT13	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_3L	C57_3M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
9aL.T3	1	9aL	9aL_3	STZ_9a	FA	ZT13	11.20.20	04.26.21	8	weeks	TRF	HCC	C57_5N	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
9aR.T3	1	9aR	9aR_3	STZ_9a	FA	ZT13	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_13N	C57_13B	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
9bN.T3	1	9bN	9bN_3	STZ_9b	NA	ZT13	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_3L	C57_3M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
9bR.T3	1	9bR	9bR_3	STZ_9b	NA	ZT13	11.22.20	03.12.21	8	weeks	TRF	HCC	C57_9N	C57_9M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
11B.T3	1	11B	11B_3	STZ_11	NA	ZT13	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_14L	C57_14M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
11L.T3	1	11L	11L_3	STZ_11	NA	ZT13	11.19.20	04.26.21	8	weeks	TRF	HCC	C57_12L	C57_12M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
12B.T3	1	12B	12B_3	STZ_12	NA	ZT13	11.24.20	04.26.21	8	weeks	TRF	HCC	C57_2N	C57_2M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
12L.T3	1	12L	12L_3	STZ_12	NA	ZT13	11.20.20	03.12.21	8	weeks	TRF	HCC	C57_5N	C57_5M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
3L.T4	1	3L	3L_4	STZ_3	FT	ZT17	11.18.20	04.27.21	8	weeks	TRF	HCC	C57_11N	C57_11M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
4B.T4	1	4B	4B_4	STZ_4b	FT	ZT17	11.19.20	04.26.21	8	weeks	TRF	HCC	C57_3L	C57_3M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
5L.T4	1	5L	5L_4	STZ_5	FT	ZT17	11.19.20	04.27.21	8	weeks	TRF	HCC	C57_13N	C57_13M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
6LL.T4	1	6LL	6LL_4	STZ_6	FT	ZT17	11.22.20	04.26.21	8	weeks	TRF	HCC	C57_9N	C57_9M	C57BL/6 	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	 mouse gut metagenome	410661	STAM/TRF	N/A	N/A
