sample_name	filename	sample_weight_MS (g)	recostitution volume (mL)	sample_id	tube_id	ATTRIBUTE_host_subject_id	sample_type	dob	dod	sex	cage_id	host_age_at_sac	ATTRIBUTE_host_age_at_sample_collection	host_age_units	collection_timestamp	ATTRIBUTE_disease_stage	ATTRIBUTE_condition	ATTRIBUTE_timepoint	mouse_strain	dam	sire	NASH_category	fibrosis_stage	steatosis_grade	fibrosis_stage_new	steatosis_grade_new
120.mzML Peak area	120.mzML	0.0796	1.592	17R.N1	17R_N1	17R	stool	22/1/2021	15/4/2021	M	STZ_17	12	12	weeks	13/4/2021	NASH	FA	ZT1	C57BL/6	C57_8N	C57_8M	NASH	2	1	1+	1+
121.mzML Peak area	121.mzML	0.0506	1.012	18L.N1	18L_N1	18L	stool	20/1/2021	16/4/2021	M	STZ_18	12	12	weeks	13/4/2021	NASH	FA	ZT1	C57BL/6	C57_7L	C57_7M	NASH	0	2	0	1+
122.mzML Peak area	122.mzML	0.0529	1.058	19R.N1	19R_N1	19R	stool	22/1/2021	15/4/2021	M	STZ_19	12	12	weeks	13/4/2021	NASH	FA	ZT1	C57BL/6	C57_12L	C57_12M	NASH	1	1	1+	1+
123.mzML Peak area	123.mzML	0.0806	1.612	20N.N1	20N_N1	20N	stool	20/1/2021	16/4/2021	M	STZ_20	12	12	weeks	13/4/2021	NASH	FA	ZT1	C57BL/6	C57_1N	C57_1M	Non_NASH	1	0	1+	0
124.mzML Peak area	124.mzML	0.0447	0.894	21L.N1	21L_N1	21L	stool	20/1/2021	16/4/2021	M	STZ_21	12	12	weeks	13/4/2021	NASH	NA	ZT1	C57BL/6	C57_9N	C57_9M	not_applicable	0	0	none	none
125.mzML Peak area	125.mzML	0.1366	2.732	21R.N1	21R_N1	21R	stool	22/1/2021	16/4/2021	M	STZ_21	12	12	weeks	13/4/2021	NASH	NA	ZT1	C57BL/6	C57_13N	C57_13M	not_applicable	0	0	none	none
126.mzML Peak area	126.mzML	0.0629	1.258	22L.N1	22L_N1	22L	stool	21/1/2021	16/4/2021	M	STZ_22	12	12	weeks	13/4/2021	NASH	NA	ZT1	C57BL/6	C57_11L	C57_11M	not_applicable	0	0	none	none
127.mzML Peak area	127.mzML	0.0432	0.864	22N.N1	22N_N1	22N	stool	20/1/2021	15/4/2021	M	STZ_22	12	12	weeks	13/4/2021	NASH	NA	ZT1	C57BL/6	C57_3L	C57_3M	not_applicable	0	0	none	none
128.mzML Peak area	128.mzML	0.0887	1.774	23N.N1	23N_N1	23N	stool	20/1/2021	16/4/2021	M	STZ_23	12	12	weeks	13/4/2021	NASH	NA	ZT1	C57BL/6	C57_3L	C57_3M	not_applicable	0	0	none	none
129.mzML Peak area	129.mzML	0.0634	1.268	24L.N1	24L_N1	24L	stool	21/1/2021	16/4/2021	M	STZ_24	12	12	weeks	13/4/2021	NASH	NA	ZT1	C57BL/6	C57_11L	C57_11M	not_applicable	0	0	none	none
13.mzML Peak area	13.mzML	0.0228	0.456	12L.T1	12L_T1	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	7	weeks	13/1/2021	TRF	NA	ZT1	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
130.mzML Peak area	130.mzML	0.0203	0.406	14L.N13	14L_N13	14L	stool	20/1/2021	16/4/2021	M	STZ_14	12	12	weeks	14/4/2021	NASH	FT	ZT13	C57BL/6	C57_4N	C57_4M	Non_NASH	0	1	0	1+
131.mzML Peak area	131.mzML	0.0471	0.942	15L.N13	15L_N13	15L	stool	20/1/2021	16/4/2021	M	STZ_15	12	12	weeks	14/4/2021	NASH	FT	ZT13	C57BL/6	C57_4N	C57_4M	NASH	1	1	1+	1+
132.mzML Peak area	132.mzML	0.0172	0.344	16R.N13	16R_N13	16R	stool	22/1/2021	16/4/2021	M	STZ_16	12	12	weeks	14/4/2021	NASH	FT	ZT13	C57BL/6	C57_8N	C57_8M	Non_NASH	1	0	1+	0
133.mzML Peak area	133.mzML	0.029	0.58	17N.N13	17N_N13	17N	stool	19/1/2021	16/4/2021	M	STZ_17	12	12	weeks	14/4/2021	NASH	FA	ZT13	C57BL/6	C57_15N	C57_15M	Non_NASH	0	1	0	1+
134.mzML Peak area	134.mzML	0.0291	0.582	18L.N13	18L_N13	18L	stool	20/1/2021	16/4/2021	M	STZ_18	12	12	weeks	14/4/2021	NASH	FA	ZT13	C57BL/6	C57_7L	C57_7M	NASH	0	2	0	1+
135.mzML Peak area	135.mzML	0.0306	0.612	18R.N13	18R_N13	18R	stool	22/1/2021	15/4/2021	M	STZ_18	12	12	weeks	14/4/2021	NASH	FA	ZT13	C57BL/6	C57_12L	C57_12M	NASH	1	1	1+	1+
136.mzML Peak area	136.mzML	0.0272	0.544	20N.N13	20N_N13	20N	stool	20/1/2021	16/4/2021	M	STZ_20	12	12	weeks	14/4/2021	NASH	FA	ZT13	C57BL/6	C57_1N	C57_1M	Non_NASH	1	0	1+	0
137.mzML Peak area	137.mzML	0.0265	0.53	21L.N13	21L_N13	21L	stool	20/1/2021	16/4/2021	M	STZ_21	12	12	weeks	14/4/2021	NASH	NA	ZT13	C57BL/6	C57_9N	C57_9M	not_applicable	0	0	none	none
138.mzML Peak area	138.mzML	0.0526	1.052	21R.N13	21R_N13	21R	stool	22/1/2021	16/4/2021	M	STZ_21	12	12	weeks	14/4/2021	NASH	NA	ZT13	C57BL/6	C57_13N	C57_13M	not_applicable	0	0	none	none
139.mzML Peak area	139.mzML	0.0234	0.468	22L.N13	22L_N13	22L	stool	21/1/2021	16/4/2021	M	STZ_22	12	12	weeks	14/4/2021	NASH	NA	ZT13	C57BL/6	C57_11L	C57_11M	not_applicable	0	0	none	none
14.mzML Peak area	14.mzML	0.0236	0.472	12B.T1	12B_T1	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	7	weeks	13/1/2021	TRF	NA	ZT1	C57BL/6	C57_2N	C57_2M	NA	NA	NA	NA	NA
140.mzML Peak area	140.mzML	0.0404	0.808	22N.N13	22N_N13	22N	stool	20/1/2021	15/4/2021	M	STZ_22	12	12	weeks	14/4/2021	NASH	NA	ZT13	C57BL/6	C57_3L	C57_3M	not_applicable	0	0	none	none
141.mzML Peak area	141.mzML	0.0463	0.926	23N.N13	23N_N13	23N	stool	20/1/2021	16/4/2021	M	STZ_23	12	12	weeks	14/4/2021	NASH	NA	ZT13	C57BL/6	C57_3L	C57_3M	not_applicable	0	0	none	none
142.mzML Peak area	142.mzML	0.0691	1.382	24L.N13	24L_N13	24L	stool	21/1/2021	16/4/2021	M	STZ_24	12	12	weeks	14/4/2021	NASH	NA	ZT13	C57BL/6	C57_11L	C57_11M	not_applicable	0	0	none	none
15.mzML Peak area	15.mzML	0.0104	0.208	5L.T13	5L_T13	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	7	weeks	13/1/2021	TRF	FT	ZT13	C57BL/6	C57_13N	C57_13M	NA	NA	NA	NA	NA
16.mzML Peak area	16.mzML	0.0065	0.13	10N.T13	10N_T13	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	7	weeks	13/1/2021	TRF	FT	ZT13	C57BL/6	C57_5L	C57_5M	NA	NA	NA	NA	NA
17.mzML Peak area	17.mzML	0.0241	0.482	7N.T13	7N_T13	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	7	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_5L	C57_5M	NA	NA	NA	NA	NA
18.mzML Peak area	18.mzML	0.0215	0.43	7L.T13	7L_T13	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	7	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_11N	C57_11M	NA	NA	NA	NA	NA
19.mzML Peak area	19.mzML	0.012	0.24	8N.T13	8N_T13	8N	stool	19/11/2020	27/4/2021	M	STZ_8	22	7	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_3L	C57_3M	NA	NA	NA	NA	NA
2.mzML Peak area	2.mzML	0.0151	0.302	5L.T1	5L_T1	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	7	weeks	13/1/2021	TRF	FT	ZT1	C57BL/6	C57_13N	C57_13M	NA	NA	NA	NA	NA
20.mzML Peak area	20.mzML	0.0226	0.452	8L.T13	8L_T13	8L	stool	19/11/2020	27/4/2021	M	STZ_8	22	7	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_12L	C57_12M	NA	NA	NA	NA	NA
21.mzML Peak area	21.mzML	0.0223	0.446	9aL.T13	9aL_T13	9aL	stool	20/11/2020	26/4/2021	M	STZ_9a	22	7	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
22.mzML Peak area	22.mzML	0.0171	0.342	9aR.T13	9aR_T13	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	7	weeks	13/1/2021	TRF	FA	ZT13	C57BL/6	C57_13N	C57_13B	NA	NA	NA	NA	NA
23.mzML Peak area	23.mzML	0.0264	0.528	9bN.T13	9bN_T13	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	7	weeks	13/1/2021	TRF	NA	ZT13	C57BL/6	C57_3L	C57_3M	NA	NA	NA	NA	NA
24.mzML Peak area	24.mzML	0.0355	0.71	9bR.T13	9bR_T13	9bR	stool	22/11/2020	12/3/2021	M	STZ_9b	not_applicable	7	weeks	13/1/2021	TRF	NA	ZT13	C57BL/6	C57_9N	C57_9M	NA	NA	NA	NA	NA
25.mzML Peak area	25.mzML	0.0377	0.754	11L.T13	11L_T13	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	7	weeks	13/1/2021	TRF	NA	ZT13	C57BL/6	C57_12L	C57_12M	NA	NA	NA	NA	NA
26.mzML Peak area	26.mzML	0.0358	0.716	11B.T13	11B_T13	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	7	weeks	13/1/2021	TRF	NA	ZT13	C57BL/6	C57_14L	C57_14M	NA	NA	NA	NA	NA
27.mzML Peak area	27.mzML	0.0368	0.736	12L.T13	12L_T13	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	7	weeks	13/1/2021	TRF	NA	ZT13	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
28.mzML Peak area	28.mzML	0.0511	1.022	12B.T13	12B_T13	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	7	weeks	13/1/2021	TRF	NA	ZT13	C57BL/6	C57_2N	C57_2M	NA	NA	NA	NA	NA
29.mzML Peak area	29.mzML	0.0092	0.184	3L.N1	3L_N1	3L	stool	18/11/2020	27/4/2021	M	STZ_3	22	12	weeks	12/2/2021	NASH	FT	ZT1	C57BL/6	C57_11N	C57_11M	NA	NA	NA	NA	NA
3.mzML Peak area	3.mzML	0.0162	0.324	6R.T1	6R_T1	6R	stool	20/11/2020	27/4/2021	M	STZ_6	22	7	weeks	13/1/2021	TRF	FT	ZT1	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
30.mzML Peak area	30.mzML	0.009	0.18	5L.N1	5L_N1	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	12	weeks	12/2/2021	NASH	FT	ZT1	C57BL/6	C57_13N	C57_13M	NA	NA	NA	NA	NA
31.mzML Peak area	31.mzML	0.0225	0.45	6R.N1	6R_N1	6R	stool	20/11/2020	27/4/2021	M	STZ_6	22	12	weeks	12/2/2021	NASH	FT	ZT1	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
32.mzML Peak area	32.mzML	0.0175	0.35	7L.N1	7L_N1	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	12	weeks	12/2/2021	NASH	FA	ZT1	C57BL/6	C57_11N	C57_11M	NA	NA	NA	NA	NA
33.mzML Peak area	33.mzML	0.0083	0.166	9aR.N1	9aR_N1	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	12	weeks	12/2/2021	NASH	FA	ZT1	C57BL/6	C57_13N	C57_13B	NA	NA	NA	NA	NA
34.mzML Peak area	34.mzML	0.0148	0.296	9bN.N1	9bN_N1	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	12	weeks	12/2/2021	NASH	NA	ZT1	C57BL/6	C57_3L	C57_3M	NA	NA	NA	NA	NA
35.mzML Peak area	35.mzML	0.0265	0.53	9bR.N1	9bR_N1	9bR	stool	22/11/2020	12/3/2021	M	STZ_9b	not_applicable	12	weeks	12/2/2021	NASH	NA	ZT1	C57BL/6	C57_9N	C57_9M	NA	NA	NA	NA	NA
36.mzML Peak area	36.mzML	0.0203	0.406	11L.N1	11L_N1	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	12	weeks	12/2/2021	NASH	NA	ZT1	C57BL/6	C57_12L	C57_12M	NA	NA	NA	NA	NA
37.mzML Peak area	37.mzML	0.0215	0.43	11B.N1	11B_N1	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	12	weeks	12/2/2021	NASH	NA	ZT1	C57BL/6	C57_14L	C57_14M	NA	NA	NA	NA	NA
38.mzML Peak area	38.mzML	0.0175	0.35	12L.N1	12L_N1	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	12	weeks	12/2/2021	NASH	NA	ZT1	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
39.mzML Peak area	39.mzML	0.0365	0.73	12B.N1	12B_N1	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	12	weeks	12/2/2021	NASH	NA	ZT1	C57BL/6	C57_2N	C57_2M	NA	NA	NA	NA	NA
4.mzML Peak area	4.mzML	0.0097	0.194	10N.T1	10N_T1	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	7	weeks	13/1/2021	TRF	FT	ZT1	C57BL/6	C57_5L	C57_5M	NA	NA	NA	NA	NA
40.mzML Peak area	40.mzML	0.0123	0.246	5L.N13	5L_N13	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	12	weeks	12/2/2021	NASH	FT	ZT13	C57BL/6	C57_13N	C57_13M	NA	NA	NA	NA	NA
41.mzML Peak area	41.mzML	0.0155	0.31	10N.N13	10N_N13	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	12	weeks	12/2/2021	NASH	FT	ZT13	C57BL/6	C57_5L	C57_5M	NA	NA	NA	NA	NA
42.mzML Peak area	42.mzML	0.0315	0.63	7N.N13	7N_N13	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	12	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_5L	C57_5M	NA	NA	NA	NA	NA
43.mzML Peak area	43.mzML	0.0227	0.454	7L.N13	7L_N13	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	12	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_11N	C57_11M	NA	NA	NA	NA	NA
44.mzML Peak area	44.mzML	0.0278	0.556	8L.N13	8L_N13	8L	stool	19/11/2020	27/4/2021	M	STZ_8	22	12	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_12L	C57_12M	NA	NA	NA	NA	NA
45.mzML Peak area	45.mzML	0.0254	0.508	9aL.N13	9aL_N13	9aL	stool	20/11/2020	26/4/2021	M	STZ_9a	22	12	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
46.mzML Peak area	46.mzML	0.0178	0.356	9aR.N13	9aR_N13	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	12	weeks	12/2/2021	NASH	FA	ZT13	C57BL/6	C57_13N	C57_13B	NA	NA	NA	NA	NA
47.mzML Peak area	47.mzML	0.0332	0.664	9bN.N13	9bN_N13	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	12	weeks	12/2/2021	NASH	NA	ZT13	C57BL/6	C57_3L	C57_3M	NA	NA	NA	NA	NA
48.mzML Peak area	48.mzML	0.0248	0.496	9bR.N13	9bR_N13	9bR	stool	22/11/2020	12/3/2021	M	STZ_9b	not_applicable	12	weeks	12/2/2021	NASH	NA	ZT13	C57BL/6	C57_9N	C57_9M	NA	NA	NA	NA	NA
49.mzML Peak area	49.mzML	0.0254	0.508	11L.N13	11L_N13	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	12	weeks	12/2/2021	NASH	NA	ZT13	C57BL/6	C57_12L	C57_12M	NA	NA	NA	NA	NA
5.mzML Peak area	5.mzML	0.0323	0.646	7N.T1	7N_T1	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	7	weeks	13/1/2021	TRF	FA	ZT1	C57BL/6	C57_5L	C57_5M	NA	NA	NA	NA	NA
50.mzML Peak area	50.mzML	0.0341	0.682	11B.N13	11B_N13	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	12	weeks	12/2/2021	NASH	NA	ZT13	C57BL/6	C57_14L	C57_14M	NA	NA	NA	NA	NA
51.mzML Peak area	51.mzML	0.0807	1.614	12L.N13	12L_N13	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	12	weeks	12/2/2021	NASH	NA	ZT13	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
52.mzML Peak area	52.mzML	0.0569	1.138	12B.N13	12B_N13	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	12	weeks	12/2/2021	NASH	NA	ZT13	C57BL/6	C57_2N	C57_2M	NA	NA	NA	NA	NA
6.mzML Peak area	6.mzML	0.0053	0.106	7L.T1	7L_T1	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	7	weeks	13/1/2021	TRF	FA	ZT1	C57BL/6	C57_11N	C57_11M	NA	NA	NA	NA	NA
7.mzML Peak area	7.mzML	0.0104	0.208	9aL.T1	9aL_T1	9aL	stool	20/11/2020	26/4/2021	M	STZ_9a	22	7	weeks	13/1/2021	TRF	FA	ZT1	C57BL/6	C57_5N	C57_5M	NA	NA	NA	NA	NA
8.mzML Peak area	8.mzML	0.0202	0.404	9aR.T1	9aR_T1	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	7	weeks	13/1/2021	TRF	FA	ZT1	C57BL/6	C57_13N	C57_13B	NA	NA	NA	NA	NA
80.mzML Peak area	80.mzML	0.0106	0.212	13N.T1	13N_T1	13N	stool	19/1/2021	15/4/2021	M	STZ_13	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_12N	C57_12M	NASH	0	2	0	1+
81.mzML Peak area	81.mzML	0.0434	0.868	13L.T1	13L_T1	13L	stool	20/1/2021	15/4/2021	M	STZ_13	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M	NASH	1	1	1+	1+
82.mzML Peak area	82.mzML	0.0315	0.63	14L.T1	14L_T1	14L	stool	20/1/2021	16/4/2021	M	STZ_14	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M	Non_NASH	0	1	0	1+
83.mzML Peak area	83.mzML	0.0655	1.31	14R.T1	14R_T1	14R	stool	21/1/2021	16/4/2021	M	STZ_14	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_11L	C57_11M	NASH	1	1	1+	1+
84.mzML Peak area	84.mzML	0.0397	0.794	15L.T1	15L_T1	15L	stool	20/1/2021	16/4/2021	M	STZ_15	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M	NASH	1	1	1+	1+
85.mzML Peak area	85.mzML	0.0647	1.294	16R.T1	16R_T1	16R	stool	22/1/2021	16/4/2021	M	STZ_16	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_8N	C57_8M	Non_NASH	1	0	1+	0
86.mzML Peak area	86.mzML	0.0468	0.936	17N.T1	17N_T1	17N	stool	19/1/2021	16/4/2021	M	STZ_17	12	7	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_15N	C57_15M	Non_NASH	0	1	0	1+
87.mzML Peak area	87.mzML	0.0228	0.456	17R.T1	17R_T1	17R	stool	22/1/2021	15/4/2021	M	STZ_17	12	7	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_8N	C57_8M	NASH	2	1	1+	1+
88.mzML Peak area	88.mzML	0.0368	0.736	18L.T1	18L_T1	18L	stool	20/1/2021	16/4/2021	M	STZ_18	12	7	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_7L	C57_7M	NASH	0	2	0	1+
89.mzML Peak area	89.mzML	0.0409	0.818	20N.T1	20N_T1	20N	stool	20/1/2021	16/4/2021	M	STZ_20	12	7	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_1N	C57_1M	Non_NASH	1	0	1+	0
9.mzML Peak area	9.mzML	0.0126	0.252	9bN.T1	9bN_T1	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	7	weeks	13/1/2021	TRF	NA	ZT1	C57BL/6	C57_3L	C57_3M	NA	NA	NA	NA	NA
90.mzML Peak area	90.mzML	0.1072	2.144	21L.T1	21L_T1	21L	stool	20/1/2021	16/4/2021	M	STZ_21	12	7	weeks	18/3/2021	TRF	NA	ZT1	C57BL/6	C57_9N	C57_9M	not_applicable	0	0	none	none
91.mzML Peak area	91.mzML	0.0912	1.824	21R.T1	21R_T1	21R	stool	22/1/2021	16/4/2021	M	STZ_21	12	7	weeks	18/3/2021	TRF	NA	ZT1	C57BL/6	C57_13N	C57_13M	not_applicable	0	0	none	none
